area,name,category,url,website,description
Porur,Zimro Private Limited,IT,https://www.google.com/maps/place/Zimro+Private+Limited/data=!4m7!3m6!1s0x3a526121c2c35e57:0xd49ee0f929229f!8m2!3d13.0371879!4d80.1465189!16s%2Fg%2F11jznx6l16!19sChIJV17DwiFhUjoRnyIp-eCe1AA?authuser=0&hl=en&rclk=1,http://zimro.in/,Zimro Private Limited
Porur,JZ TEC PRIVATE LIMITED,IT,https://www.google.com/maps/place/JZ+TEC+PRIVATE+LIMITED/data=!4m7!3m6!1s0x3a5261b1cb23cbdd:0x4cd3ad170e4708a4!8m2!3d13.0381041!4d80.1657648!16s%2Fg%2F11skkjvmsw!19sChIJ3csjy7FhUjoRpAhHDhet00w?authuser=0&hl=en&rclk=1,https://thejztec.com/,JZ TEC PRIVATE LIMITED
Porur,NearBy Technologies Pvt Ltd,IT,https://www.google.com/maps/place/NearBy+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3a52611c64f5f683:0x2c0f8ac64fcfd0a3!8m2!3d13.0372364!4d80.1574419!16s%2Fg%2F11b_2vsv18!19sChIJg_b1ZBxhUjoRo9DPT8aKDyw?authuser=0&hl=en&rclk=1,N/A,NearBy Technologies Pvt Ltd
Porur,Akmin Technologies Private Limited,IT,https://www.google.com/maps/place/Akmin+Technologies+Private+Limited/data=!4m7!3m6!1s0x3a52641d15ce6c0d:0x4d8dc4edeaf21938!8m2!3d13.0294388!4d80.1630416!16s%2Fg%2F1td9nz1y!19sChIJDWzOFR1kUjoROBny6u3EjU0?authuser=0&hl=en&rclk=1,http://www.akmin.com/,Akmin Technologies Private Limited
Porur,cSoft Solutions,IT,https://www.google.com/maps/place/cSoft+Solutions/data=!4m7!3m6!1s0x3a526123c9349c8f:0xb9cb474257f05e82!8m2!3d13.0394745!4d80.1684325!16s%2Fg%2F11qpwjhmkt!19sChIJj5w0ySNhUjoRgl7wV0JHy7k?authuser=0&hl=en&rclk=1,https://csoftsolutions.co.in/,cSoft Solutions
Porur,Digital AI,IT,https://www.google.com/maps/place/Digital+AI/data=!4m7!3m6!1s0x3a52673cd3b6a93b:0x4d0d7156150bead8!8m2!3d13.0307905!4d80.1683035!16s%2Fg%2F1ptxd9g0b!19sChIJO6m20zxnUjoR2OoLFVZxDU0?authuser=0&hl=en&rclk=1,https://digital.ai/,Digital AI
Porur,SOFTTWIG Technology Solutions OPC Pvt Ltd,IT,https://www.google.com/maps/place/SOFTTWIG+Technology+Solutions+OPC+Pvt+Ltd/data=!4m7!3m6!1s0x3a5260f0abb09795:0x2dfca3fb977efe5f!8m2!3d13.0200145!4d80.1485889!16s%2Fg%2F11frsyk4jj!19sChIJlZewq_BgUjoRX_5-l_uj_C0?authuser=0&hl=en&rclk=1,https://www.softtwig.com/,SOFTTWIG Technology Solutions OPC Pvt Ltd
Porur,VNOTCH SOFTWARE SERVICES,IT,https://www.google.com/maps/place/VNOTCH+SOFTWARE+SERVICES/data=!4m7!3m6!1s0x3a5260e08ce8326f:0xf62c14f75137ea52!8m2!3d13.0292797!4d80.1638575!16s%2Fg%2F11hcd98_yg!19sChIJbzLojOBgUjoRUuo3UfcULPY?authuser=0&hl=en&rclk=1,N/A,VNOTCH SOFTWARE SERVICES
Porur,Intech Software Solutions Pvt Ltd.,IT,https://www.google.com/maps/place/Intech+Software+Solutions+Pvt+Ltd./data=!4m7!3m6!1s0x3a5260fa0fe7c497:0x9b04ddf910a3d2b8!8m2!3d13.0212202!4d80.1491763!16s%2Fg%2F11q37sq95s!19sChIJl8TnD_pgUjoRuNKjEPndBJs?authuser=0&hl=en&rclk=1,N/A,Intech Software Solutions Pvt Ltd.
Porur,Tarkiz Infotech Pvt Ltd,IT,https://www.google.com/maps/place/Tarkiz+Infotech+Pvt+Ltd/data=!4m7!3m6!1s0xa3edacff08ed6991:0x7d40f324560d7ece!8m2!3d13.0367956!4d80.1506319!16s%2Fg%2F11y421wp7q!19sChIJkWntCP-s7aMRzn4NViTzQH0?authuser=0&hl=en&rclk=1,https://tarkiz.info/,Tarkiz Infotech Pvt Ltd
